Entity,Confirmed,Deaths,DaysSince100,Population,Population60Plus,PopulationDensity,GDP,GDPPerCapita,PhysiciansPer1000,BedsPer10000,CTPerMillion,CO2PerCapita,PopulationMedianAge,Obesity,Smoking,RaisedBloodPressure,GeographicRegion,Fatality,PhysicianOverload,BedOverload,CTOverload
Kuwait,255,0,16,4.2071,5.9971,236.0877,119534.0,28897.0,2.6,20.0,,25.4,28.95,42.8,,27.1,Western Asia,0.0,23.31223956571583,3.0305911435430586,
Latvia,347,0,10,1.9067,27.1487,30.655,30463.0,15625.0,3.2,64.0,,3.5,41.44,22.0,34.25,38.3,Northern Europe,0.0,56.87182042271987,2.843591021135994,
Lebanon,438,10,15,6.8557,10.8001,670.1577,53394.0,8778.0,2.3,35.0,25.09,4.3,29.4,28.2,46.55,29.8,Western Asia,0.0228310502283105,27.777583997067502,1.8253840912358643,2.546370792875857
Lithuania,460,7,8,2.7596,26.8613,44.0314,47544.0,16450.0,4.3,68.0,20.22,4.4,39.09,24.7,27.3,39.8,Northern Europe,0.015217391304347827,38.76530808307238,2.4513356581942825,8.243858791157825
Luxembourg,1950,21,13,0.6157,19.72,237.7332,62316.0,106806.0,3.0,56.0,18.85,17.3,39.0,23.4,20.6,23.1,Western Europe,0.010769230769230769,1055.7089491635536,56.55583656233323,168.01733938942496
Malaysia,2470,35,21,31.9498,10.6166,97.2448,314707.0,9951.0,1.5,18.0,6.43,8.1,26.99,14.1,19.3,26.8,South-eastern Asia,0.01417004048582996,51.539185430477396,4.294932119206449,12.023138125305769
Malta,151,0,7,0.4404,27.6348,1376.1625,12553.0,29137.0,3.8,45.0,9.32,5.6,40.65,26.6,21.45,25.1,Southern Europe,0.0,90.22897844065203,7.619335957210616,36.78863927837744
Mauritius,107,3,2,1.2697,17.7765,625.4522,13366.0,10565.0,2.0,34.0,6.43,3.3,34.18,18.2,19.9,37.6,Sub-Saharan Africa,0.028037383177570093,42.13593762306056,2.478584566062386,13.106045916970627
Mexico,848,16,11,127.5755,10.9519,65.627,1158229.0,8967.0,2.2,16.0,3.65,3.8,26.64,32.8,9.4,24.4,Latin America and the Caribbean,0.018867924528301886,3.0213837723900387,0.4154402687036304,1.8211080271939961
Republic of Moldova,263,2,7,4.0433,18.4187,123.0826,8128.0,2006.0,3.2,62.0,5.45,1.2,35.61,20.4,27.6,37.2,Eastern Europe,0.0076045627376425855,20.32683698958771,1.0491270704303335,11.935023553519391
