Entity,Confirmed,Deaths,DaysSince100,Population,Population60Plus,PopulationDensity,GDP,GDPPerCapita,PhysiciansPer1000,BedsPer10000,CTPerMillion,CO2PerCapita,PopulationMedianAge,Obesity,Smoking,RaisedBloodPressure,GeographicRegion,Fatality,PhysicianOverload,BedOverload,CTOverload
Cameroon,2.146128035678238,0.8450980400142568,0.0,1.412903855888225,4.2955,1.7383087599401852,4.543123979547865,3.161966616364075,-1.0,1.1139433523068367,-0.2006594505464183,-0.5228787452803376,18.18,11.1,44.05,32.7,Sub-Saharan Africa,0.04316546762589928,1.73011094436587,-0.38383240794096674,0.9307703949122883
Chile,3.330413773349191,0.9030899869919435,1.146128035678238,1.2776550477147086,16.9431,1.4063562049852445,5.44260674635941,4.186023493117446,0.04139268515822508,1.3222192947339193,1.100370545117563,0.6720978579357175,32.76,29.1,33.65000000000001,33.3,Latin America and the Caribbean,0.0032725572697522207,2.011163051698594,0.7303364421228999,0.9521851917392564
"China, Hong Kong SAR",2.807535028068853,0.6989700043360189,1.4471580313422192,0.8713510618056591,25.1708,3.850159074449113,5.533592865418301,4.66642437251876,,,,0.8061799739838872,,,,,Eastern Asia,0.0062402496099844,,,
Colombia,2.846955325019824,1.0413926851582251,1.0413926851582251,1.7019080348467885,12.7695,1.6567812230557026,5.490226843890454,3.799478398837981,0.3222192947339193,1.0,,0.25527250510330607,27.4,18.1,8.4,30.2,Latin America and the Caribbean,0.014245014245014245,0.8222097825490975,0.1444290772830167,
Costa Rica,2.4983105537896004,0.47712125471966244,0.9542425094393249,0.7030849316806573,14.4913,1.9950008370609376,4.76015850899809,4.069446083880313,0.04139268515822508,1.0791812460476249,0.7101173651118162,0.2041199826559248,29.29,24.6,10.55,27.2,Latin America and the Caribbean,0.006369426751592357,1.7524520312343326,0.7146634703449328,1.0837273512807415
C�te d�Ivoire,2.220108088040055,0.3010299956639812,0.47712125471966244,1.4102118610593541,4.6718,1.907785294993609,4.580411726277412,3.1947917577219247,-0.6989700043360187,0.6020599913279624,-0.16115090926274472,-0.3010299956639812,18.96,6.7,,38.8,Sub-Saharan Africa,0.006060606060606061,1.5062420874905709,0.2052120918265897,0.9684229924172968
Croatia,2.8536982117761744,0.8450980400142568,1.0413926851582251,0.6159815973253545,27.8954,1.8681040256749162,4.741946945311592,4.119816545937216,0.47712125471966244,1.7323937598229686,1.17376882313665,0.6020599913279624,42.38,21.3,38.9,38.3,Southern Europe,0.008415147265077139,1.7599866778068487,0.5047141727035425,1.063339109389861
Cuba,2.146128035678238,0.6020599913279624,0.3010299956639812,1.0543640489591897,20.6811,2.0272586614739763,4.986104109229005,3.925982100327103,0.9138138523837167,1.7708520116421442,0.6803355134145632,0.47712125471966244,39.57,20.5,32.5,31.0,Latin America and the Caribbean,0.02158273381294964,0.17483689891118878,-0.6822012603472387,0.40831523788034224
Cyprus,2.3324384599156054,0.7781512503836436,0.8450980400142568,0.07867427336046615,19.3335,2.112993213239327,4.343487370238302,4.411451342137937,0.3010299956639812,1.5797835966168101,1.4050046650503694,0.7160033436347992,34.88,23.4,,23.4,Western Asia,0.02336448598130841,1.9507095043247435,0.6719559033719146,0.8467348349383553
Czechia,3.4499409887733377,1.2304489213782739,1.2304489213782739,1.0289452030023638,25.9381,2.141103454049052,5.334101749583195,4.308051921242662,0.6334684555795865,1.8512583487190752,1.113609151073028,0.9637878273455552,40.07,28.7,32.25,33.5,Eastern Europe,0.0056798012069577564,1.787373188403823,0.5695832952643343,1.3072324929103816
