Entity,Confirmed cases,Deaths,Days since confirmed cases >= 100,Population in 2019 (millions),Population aged 60+ years old (percentage),Population density in 2019,GDP in 2017 (millions of US dollars),GDP per capita in 2017 (US dollars),Physicians (per 1000 population),Hospital beds per 10000 population,CT units per million population,CO2 emissions per capita,Population median age,Adults aged >= 20 years who are obese (%),Prevalence of smoking,Raised blood pressure,Geographic region
New Zealand,514,1,8,4.7831,21.7338,18.1651,202044.0,42935.0,3.0,23.0,15.8,7.7,36.85,27.0,,18.9,Australia and New Zealand
Nigeria,111,1,1,200.9636,4.5025,220.6524,375770.0,1969.0,0.4,5.0,,0.6,17.84,7.1,12.25,40.0,Sub-Saharan Africa
North Macedonia,259,6,8,2.0835,20.2682,82.6114,11280.0,5415.0,2.9,,,,,,,,Southern Europe
Norway,4284,25,24,5.3789,22.9632,14.7258,399470.0,75295.0,4.6,33.0,,9.2,38.88,19.8,14.55,28.0,Northern Europe
Oman,167,0,4,4.975,4.1578,16.0743,70784.0,15267.0,2.0,18.0,6.88,14.4,25.88,22.0,16.05,30.5,Western Asia
Pakistan,1597,14,14,216.5653,6.6394,280.9326,302139.0,1534.0,1.0,6.0,0.33,0.9,22.23,5.9,23.95,28.4,Southern Asia
Panama,901,17,11,4.2464,11.9273,57.1219,61838.0,15088.0,1.6,22.0,9.58,2.3,27.64,25.8,3.9,28.2,Latin America and the Caribbean
Peru,852,18,13,32.5105,12.0793,25.3988,211403.0,6572.0,1.3,15.0,,2.0,26.16,16.5,,22.8,Latin America and the Caribbean
Philippines,1418,71,16,108.1166,8.341,362.6006,313595.0,2989.0,1.3,5.0,1.09,1.1,22.74,6.4,21.05,26.2,South-eastern Asia
Poland,1862,22,16,37.8878,25.4113,123.7232,526212.0,13786.0,2.4,67.0,10.6,7.4,38.55,23.2,21.9,37.2,Eastern Europe
Portugal,5962,119,17,10.2262,28.8549,111.6518,195041.0,18882.0,3.3,33.0,27.43,4.3,41.81,21.6,21.1,29.3,Southern Europe
Qatar,634,1,19,2.8321,3.2577,243.9334,167605.0,63506.0,0.0,12.0,8.3,49.7,31.64,33.1,,32.6,Western Asia
Romania,1815,43,16,19.3646,25.6933,84.1315,211804.0,10763.0,2.3,66.0,5.44,3.6,39.09,17.7,24.950000000000003,36.0,Eastern Europe
Russian Federation,1534,8,13,145.8723,21.9565,8.9072,1577524.0,10956.0,4.0,97.0,,11.9,38.22,24.9,39.3,34.4,Eastern Europe
San Marino,224,22,15,0.0339,24.0856,564.3333,1690.0,50588.0,6.1,,31.8,,,,,,Southern Europe
Saudi Arabia,1299,8,16,34.2685,5.6917,15.9411,683827.0,20761.0,2.4,22.0,3.82,19.5,27.03,35.2,19.05,31.2,Western Asia
Senegal,142,0,4,16.2964,4.7973,84.6432,21126.0,1333.0,0.1,3.0,0.35,0.6,18.01,8.0,14.6,36.1,Sub-Saharan Africa
Serbia,741,13,11,8.7722,25.1863,100.3,41590.0,5912.0,3.1,54.0,13.67,4.3,38.38,23.0,38.4,38.1,Southern Europe
