"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Democratic People's Republic of Korea","2008","Both sexes","3.8 [0.7-9.9]",""
"Democratic People's Republic of Korea","2008","Female","3.9 [0.2-14.5]",""
"Democratic People's Republic of Korea","2008","Male","3.7 [0.5-10.9]",""
"Democratic Republic of the Congo","2008","Male","0.7 [0.2-2.1]",""
"Democratic Republic of the Congo","2008","Female","3.0 [1.6-5.3]",""
"Democratic Republic of the Congo","2008","Both sexes","1.9 [1.1-3.2]",""
"Denmark","2008","Both sexes","16.2 [10.9-22.1]",""
"Denmark","2008","Female","15.4 [7.3-24.9]",""
"Denmark","2008","Male","17.1 [10.5-23.8]",""
"Djibouti","2008","Male","6.7 [1.3-16.2]",""
"Djibouti","2008","Female","13.8 [2.8-30.4]",""
"Djibouti","2008","Both sexes","10.4 [3.8-19.8]",""
"Dominica","2008","Both sexes","25.0 [21.2-28.8]",""
"Dominica","2008","Female","39.1 [32.4-45.7]",""
"Dominica","2008","Male","10.1 [7.3-13.9]",""
"Dominican Republic","2008","Male","14.4 [8.1-22.8]",""
"Dominican Republic","2008","Female","29.3 [19.2-39.6]",""
"Dominican Republic","2008","Both sexes","21.9 [15.9-28.3]",""
"Ecuador","2008","Both sexes","22.0 [16.1-28.4]",""
"Ecuador","2008","Female","28.2 [19.9-36.2]",""
"Ecuador","2008","Male","15.7 [8.0-25.7]",""
"Egypt","2008","Male","22.5 [16.5-28.3]",""
"Egypt","2008","Female","46.3 [42.7-49.9]",""
"Egypt","2008","Both sexes","34.6 [31.2-38.0]",""
"El Salvador","2008","Both sexes","26.9 [21.8-32.3]",""
"El Salvador","2008","Female","32.9 [27.6-38.5]",""
"El Salvador","2008","Male","20.2 [11.2-29.4]",""
"Equatorial Guinea","2008","Male","7.9 [1.3-21.0]",""
"Equatorial Guinea","2008","Female","14.8 [2.4-33.5]",""
"Equatorial Guinea","2008","Both sexes","11.5 [3.7-22.4]",""
"Eritrea","2008","Both sexes","1.8 [1.0-3.3]",""
"Eritrea","2008","Female","2.3 [0.9-4.7]",""
"Eritrea","2008","Male","1.3 [0.6-2.3]",""
"Estonia","2008","Male","20.2 [12.0-28.2]",""
"Estonia","2008","Female","17.6 [8.4-28.3]",""
"Estonia","2008","Both sexes","18.9 [12.5-25.9]",""
"Ethiopia","2008","Both sexes","1.2 [0.7-2.0]",""
"Ethiopia","2008","Female","1.6 [0.8-2.9]",""
"Ethiopia","2008","Male","0.9 [0.3-1.8]",""
"Fiji","2008","Male","21.3 [14.3-28.0]",""
"Fiji","2008","Female","42.2 [33.5-50.7]",""
"Fiji","2008","Both sexes","31.9 [26.1-37.4]",""
"Finland","2008","Both sexes","19.9 [16.7-23.2]",""
"Finland","2008","Female","18.6 [14.0-23.6]",""
"Finland","2008","Male","21.0 [16.8-25.0]",""
"France","2008","Male","16.8 [13.3-20.1]",""
"France","2008","Female","14.6 [10.4-19.4]",""
"France","2008","Both sexes","15.6 [12.8-18.7]",""
"Gabon","2008","Both sexes","15.0 [11.4-18.8]",""
"Gabon","2008","Female","21.5 [15.3-28.1]",""
"Gabon","2008","Male","8.4 [5.3-12.5]",""
"Gambia","2008","Male","2.3 [0.8-5.0]",""
"Gambia","2008","Female","14.4 [7.0-25.5]",""
"Gambia","2008","Both sexes","8.5 [4.6-14.1]",""
"Georgia","2008","Both sexes","21.2 [10.4-32.9]",""
"Georgia","2008","Female","25.7 [9.1-43.6]",""
"Georgia","2008","Male","15.9 [5.7-29.3]",""
"Germany","2008","Male","23.1 [18.8-27.6]",""
"Germany","2008","Female","19.2 [14.3-24.2]",""
"Germany","2008","Both sexes","21.3 [18.0-24.7]",""
"Ghana","2008","Both sexes","8.0 [6.7-9.6]",""
"Ghana","2008","Female","11.7 [9.4-14.5]",""
"Ghana","2008","Male","4.4 [3.0-5.9]",""
"Greece","2008","Male","18.8 [13.0-24.7]",""
"Greece","2008","Female","16.1 [9.6-22.8]",""
"Greece","2008","Both sexes","17.5 [13.1-22.0]",""
"Grenada","2008","Both sexes","24.0 [13.7-35.2]",""
"Grenada","2008","Female","32.1 [15.1-49.1]",""
"Grenada","2008","Male","14.9 [5.1-28.1]",""
"Guatemala","2008","Male","13.8 [8.2-21.1]",""
"Guatemala","2008","Female","26.7 [18.7-33.8]",""
"Guatemala","2008","Both sexes","20.7 [15.6-25.8]",""
"Guinea","2008","Both sexes","4.7 [2.2-8.2]",""
"Guinea","2008","Female","5.1 [2.5-8.6]",""
"Guinea","2008","Male","4.3 [0.7-10.5]",""
"Guinea-Bissau","2008","Male","2.6 [0.4-7.5]",""
"Guinea-Bissau","2008","Female","8.1 [1.1-21.5]",""
