Entity,Tests,TestsPerMillion,Confirmed,Deaths,Population,Population60Plus,PopulationDensity,GDP,GDPPerCapita,PhysiciansPer1000,BedsPer10000,CTPerMillion,CO2PerCapita,PopulationMedianAge,Obesity,Smoking,RaisedBloodPressure,GeographicRegion,Fatality,PhysicianOverload,BedOverload,CTOverload
Panama,1455.0,339.2,86.0,1.0,4.2464,11.9273,57.1219,61838.0,15088.0,1.6,22.0,9.58,2.3,27.64,25.8,3.9,28.2,Latin America and the Caribbean,0.011627906976744186,12.657780708364731,0.9205658696992532,2.114034356303087
Philippines,1269.0,11.6,230.0,18.0,108.1166,8.341000000000001,362.6006,313595.0,2989.0,1.3,5.0,1.09,1.1,22.74,6.4,21.05,26.2,South-eastern Asia,0.0782608695652174,1.6364099215391246,0.4254665796001724,1.951681557798956
Poland,13072.0,344.5,425.0,5.0,37.8878,25.4113,123.7232,526212.0,13786.0,2.4,67.0,10.6,7.4,38.55,23.2,21.9,37.2,Eastern Europe,0.011764705882352941,4.67388798856976,0.16742285332190185,1.0582387898648513
Qatar,8400.0,3008.8,439.0,0.0,2.8321,3.2577,243.9334,167605.0,63506.0,0.0,12.0,8.3,49.7,31.64,33.1,,32.6,Western Asia,0.0,inf,12.91738756870638,18.675741063189943
Romania,8284.0,427.3,308.0,0.0,19.3646,25.6933,84.1315,211804.0,10763.0,2.3,66.0,5.44,3.6,39.09,17.7,24.950000000000006,36.0,Eastern Europe,0.0,6.915352936712398,0.24098957203694715,2.9237705430953147
Russian Federation,143519.0,998.1,199.0,1.0,145.8723,21.9565,8.9072,1577524.0,10956.0,4.0,97.0,,11.9,38.22,24.9,39.3,34.4,Eastern Europe,0.005025125628140704,0.3410517281211032,0.0140639887884991,
Slovakia,2707.0,496.6,137.0,1.0,5.457000000000001,22.8402,113.4797,95618.0,17552.0,2.5,65.0,,5.6,37.87,24.6,26.45,37.3,Eastern Europe,0.0072992700729927005,10.042147700201575,0.38623645000775286,
Slovenia,9860.0,4735.7,286.0,1.0,2.0787,27.2352,103.2102,48456.0,23296.0,3.0,46.0,13.51,6.2,42.1,27.0,17.3,38.0,Southern Europe,0.0034965034965034965,45.86199708150928,2.9909998096636485,10.18401119500576
South Africa,6438.0,109.6,202.0,0.0,58.5583,8.4053,48.272,348872.0,6151.0,0.9,28.0,0.97,9.1,25.7,33.5,16.900000000000002,37.4,Sub-Saharan Africa,0.0,3.832837436271962,0.1231983461658845,3.556240920252336
Republic of Korea,316664.0,6148.0,8652.0,94.0,51.2253,22.1182,526.8467,1530751.0,30025.0,2.4,103.0,35.38,11.7,38.85,7.3,23.8,15.6,Eastern Asia,0.010864539990753583,70.37538091528992,1.6398147009387942,4.773909389392193
Spain,30000.0,645.7,13910.0,623.0,46.7368,25.7252,93.6984,1314314.0,28354.0,4.1,32.0,13.85,5.1,40.99,24.1,24.6,23.2,Southern Europe,0.04478792235801582,72.59125414725159,9.30075443761661,21.489107725901192
Sweden,14300.0,1412.8,1190.0,7.0,10.0364,25.7745,24.4587,535607.0,54043.0,5.4,28.0,,4.5,40.91,16.6,14.95,24.6,Northern Europe,0.0058823529411764705,21.95711314518855,4.234586106572078,
Switzerland,4000.0,461.3,268.0,1.0,8.5914,24.8448,217.4148,678938.0,80101.0,4.2,52.0,,4.3,41.85,14.9,19.6,20.9,Western Europe,0.0037313432835820895,7.427139210084946,0.5998843208145533,
Taiwan,21376.0,898.9,135.0,2.0,,,,,,,,,,,,,,,0.014814814814814815,,,
Thailand,7084.0,102.1,177.0,1.0,69.6256,18.4579,136.2829,455303.0,6595.0,0.8,21.0,5.95,4.7,36.42,8.5,20.1,22.3,South-eastern Asia,0.005649717514124294,3.1777104972883534,0.12105563799193728,0.4272551929127198
Turkey,2900.0,34.6,0.0,0.0,83.4296,12.7289,108.4022,851542.0,10546.0,1.8,25.0,14.52,4.5,29.04,29.3,19.95,24.5,Western Asia,,0.0,0.0,0.0
Ukraine,316.0,7.3,29.0,3.0,43.9936,23.3712,75.9401,112154.0,2536.0,3.0,87.0,,5.1,39.62,20.1,28.3,40.3,Eastern Europe,0.10344827586206896,0.21972893026864515,0.00757685966443604,
United Arab Emirates,125000.0,12738.0,98.0,0.0,9.7705,2.7993,116.8724,382575.0,40699.0,2.4,19.0,,23.2,29.37,33.7,,27.7,Western Asia,0.0,4.1792470532043735,0.5279048909310787,
United Kingdom,64621.0,959.7,2716.0,138.0,67.5302,24.135,279.131,2631228.0,39758.0,2.8,33.0,,6.5,40.07,24.9,14.35,23.4,Northern Europe,0.0508100147275405,14.363943835498786,1.218758870890806,
United States of America,103945.0,313.6,13677.0,200.0,329.0649,22.418000000000003,35.9735,19485394.0,60055.0,2.6,30.0,,16.2,37.3,31.8,13.4,15.6,Northern America,0.014623089858887182,15.985857547810827,1.3854409874769382,
Viet Nam,15637.0,159.0,91.0,0.0,96.4621,11.8554,311.0978,223780.0,2342.0,0.8,31.0,,1.8,29.41,1.6,23.3,26.1,South-eastern Asia,0.0,1.1792196106035426,0.03043147382202691,
