Entity,Tests,TestsPerMillion,Confirmed,Deaths,Population,Population60Plus,PopulationDensity,GDP,GDPPerCapita,PhysiciansPer1000,BedsPer10000,CTPerMillion,CO2PerCapita,PopulationMedianAge,Obesity,Smoking,RaisedBloodPressure,GeographicRegion,Fatality,PhysicianOverload,BedOverload,CTOverload
Panama,3.162862993321926,2.5304558435846762,1.9395192526186185,0.3010299956639812,0.6280209011843415,11.9273,1.7568026445978124,4.791255434936629,4.1786316753932535,0.2041199826559248,1.3424226808222062,0.9813655090785445,0.36172783601759284,27.64,25.8,3.9,28.2,Latin America and the Caribbean,0.011627906976744186,1.1023575674033015,-0.03594513076298001,0.3251120409806818
Philippines,3.103461622094705,1.0644579892269184,2.3636119798921444,1.2787536009528289,2.0338923797527704,8.341000000000001,2.5594285183928975,5.4963691296191595,3.4755259150392805,0.11394335230683679,0.6989700043360189,0.037426497940623665,0.04139268515822508,22.74,6.4,21.05,26.2,South-eastern Asia,0.0782608695652174,0.21389210395798577,-0.3711345480711962,0.2904089583241989
Poland,4.11634203918834,2.5371892262436444,2.629409599102719,0.7781512503836436,1.578499388183432,25.4113,2.0924511441501656,5.721160747729842,4.139438274158168,0.38021124171160603,1.8260748027008264,1.0253058652647702,0.8692317197309762,38.55,23.2,21.9,37.2,Eastern Europe,0.011764705882352941,0.6696783001552736,-0.7761852608339468,0.024583676602109424
Qatar,3.9242792860618816,3.4783933204143427,2.6434526764861874,0.0,0.4521085840041175,3.2577,2.3872712691230342,5.224286970380293,4.802814759052481,-inf,1.0791812460476249,0.919078092376074,1.6963563887333322,31.64,33.1,,32.6,Western Asia,0.0,inf,1.111174690190379,1.2712778438619299
Romania,3.918240090221415,2.6307328928171967,2.4899584794248346,0.0,1.2870085305197814,25.6933,1.9249586321215475,5.325934157667235,4.0319333402756055,0.36172783601759284,1.8195439355418688,0.7355988996981799,0.5563025007672873,39.09,17.7,24.950000000000006,36.0,Eastern Europe,0.0,0.83981434996307,-0.6180017495612059,0.4659432862824829
Russian Federation,5.156909399668837,2.999174055588485,2.3010299956639813,0.3010299956639812,2.1639728306235857,21.9565,0.9497412039628632,6.197975975198758,4.039652023581924,0.6020599913279624,1.9867717342662448,,1.0755469613925308,38.22,24.9,39.3,34.4,Eastern Europe,0.005025125628140704,-0.46717974554184133,-1.8518914884801239,
Slovakia,3.4324882557705063,2.6960067152185454,2.1398790864012365,0.3010299956639812,0.7369539537831461,22.8402,2.0549181790050555,4.980539655506521,4.244326610230636,0.3979400086720376,1.8129133566428555,,0.7481880270062004,37.87,24.6,26.45,37.3,Eastern Europe,0.0072992700729927005,1.0018266047012232,-0.4131467432695949,
Slovenia,3.993876914941211,3.675384182635624,2.4578818967339924,0.3010299956639812,0.31779181605307144,27.2352,2.0137226196246725,4.685347560655245,4.367281357632943,0.47712125471966244,1.662757831681574,1.1306553490220306,0.7923916894982539,42.1,27.0,17.3,38.0,Southern Europe,0.0034965034965034965,1.6614529623563092,0.47581638539439747,1.007918868053941
South Africa,3.808750972349595,2.0398105541483504,2.307496037913213,0.0,1.7675884602747909,8.4053,1.6836952928309132,5.54266611495266,3.788945727023748,-0.045757490560675115,1.4471580313422192,-0.01322826573375516,0.9590413923210935,25.7,33.5,16.900000000000002,37.4,Sub-Saharan Africa,0.0,0.5835203997325081,-0.9093951221703862,0.5509911749055881
Republic of Korea,5.500598693337097,3.7887338588277073,3.937166703715033,1.9777236052888478,1.7094845105180945,22.1182,2.7216842641131973,6.184904551821205,4.4774830160749435,0.38021124171160603,2.012837224705172,1.5487578285737043,1.0681858617461617,38.85,7.3,23.8,15.6,Eastern Asia,0.010864539990753583,1.8474207585373534,0.21479477554378715,0.678874171675255
Spain,4.477121254719663,2.8100307864058394,4.1433583506154665,2.795184589682424,1.669658973569306,25.7252,1.9717321749101493,6.118699134003266,4.452614335023878,0.6127838567197355,1.505149978319906,1.1414497734004674,0.7075701760979364,40.99,24.1,24.6,23.2,Southern Europe,0.04478792235801582,1.860884299703005,0.9685181781028346,1.3322183830222731
Sweden,4.155336037465061,3.150080686233493,3.0759117614827773,0.9030899869919435,1.001577961762836,25.7745,1.3884333702051632,5.7288462442949895,4.732739449293047,0.7323937598229685,1.4471580313422192,,0.6532125137753437,40.91,16.6,14.95,24.6,Northern Europe,0.0058823529411764705,1.3415752398067262,0.6268109682874755,
Switzerland,3.6020599913279625,2.6639834546082666,2.429752280002408,0.3010299956639812,0.93406393946955,24.8448,2.3372891043296535,5.83183011671455,4.903637937954038,0.6232492903979004,1.7160033436347992,,0.6334684555795865,41.85,14.9,19.6,20.9,Western Europe,0.0037313432835820895,0.8708215641613383,-0.2219324890755604,
Taiwan,4.329926440795452,2.9537113804275554,2.1335389083702174,0.47712125471966244,,,,,,,,,,,,,,,0.014814814814814815,,,
Thailand,3.850278552518037,2.0090257420869104,2.250420002308894,0.3010299956639812,1.8427689507392917,18.4579,2.1344413664617137,5.658300511892098,3.819214799882384,-0.09691001300805639,1.3222192947339193,0.7745169657285496,0.6720978579357175,36.42,8.5,20.1,22.3,South-eastern Asia,0.005649717514124294,0.5021143286305714,-0.9170149791114043,-0.3693126501060346
Turkey,3.462397997898956,1.5390760987927767,0.0,0.0,1.9213201613806672,12.7289,2.0350380962075785,5.93020607322452,4.023087766995445,0.25527250510330607,1.3979400086720377,1.161966616364075,0.6532125137753437,29.04,29.3,19.95,24.5,Western Asia,,-inf,-inf,-inf
Ukraine,2.499687082618404,0.8633228601204559,1.4771212547196624,0.6020599913279624,1.6433895017850937,23.3712,1.880471164695003,5.04981476741474,3.404149249209695,0.47712125471966244,1.9395192526186185,,0.7075701760979364,39.62,20.1,28.3,40.3,Eastern Europe,0.10344827586206896,-0.6581127586058,-2.120510756504756,
United Arab Emirates,5.096910013008056,4.105101244549642,1.99563519459755,0.0,0.9899167890703249,2.7993,2.0677119624627105,5.582716586922887,4.6095837384680385,0.38021124171160603,1.2787536009528289,,1.3654879848908996,29.37,33.7,,27.7,Western Asia,0.0,0.621098044910564,-0.277444314330659,
United Kingdom,4.810373674373695,2.9821354948037695,3.4340896384178907,2.143014800254095,1.8294980359450863,24.135,2.4458080714628725,6.4201584820088,4.599424529376927,0.4471580313422192,1.5185139398778875,,0.8129133566428556,40.07,24.9,14.35,23.4,Northern Europe,0.0508100147275405,1.1572736983211587,0.0859177897854903,
